customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges.Monthly,account_Charges.Total,tipo_de_servicio,valor
0231-LXVAP,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,75.9,75.9,phone_PhoneService,Yes
0235-KGSLC,Yes,Female,0,No,No,1,Month-to-month,Yes,Credit card (automatic),85.55,85.55,phone_PhoneService,Yes
0236-HFWSV,Yes,Male,0,No,No,15,Month-to-month,Yes,Electronic check,93.35,1444.65,phone_PhoneService,Yes
0256-LTHVJ,Yes,Female,0,Yes,Yes,28,Month-to-month,Yes,Electronic check,81.05,2227.1,phone_PhoneService,Yes
0257-ZESQC,Yes,Female,1,Yes,No,27,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,phone_PhoneService,Yes
0259-GBZSH,Yes,Male,0,No,No,2,Month-to-month,Yes,Electronic check,85.65,181.5,phone_PhoneService,Yes
0260-ZDLGK,Yes,Female,0,No,Yes,9,Month-to-month,Yes,Mailed check,72.9,651.4,phone_PhoneService,Yes
0265-EDXBD,Yes,Male,1,Yes,No,32,Month-to-month,Yes,Electronic check,74.9,2303.35,phone_PhoneService,Yes
0268-QKIWO,Yes,Female,0,No,No,3,Month-to-month,No,Electronic check,19.75,58.85,phone_PhoneService,Yes
0278-YXOOG,Yes,Male,0,No,No,5,Month-to-month,No,Mailed check,21.05,113.85,phone_PhoneService,Yes
0280-XJGEX,Yes,Male,0,No,No,49,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,phone_PhoneService,Yes
0295-PPHDO,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,95.45,95.45,phone_PhoneService,Yes
0302-JOIVN,Yes,Female,0,Yes,No,8,Month-to-month,No,Electronic check,101.15,842.9,phone_PhoneService,Yes
0306-JAELE,Yes,Male,0,No,No,5,Month-to-month,Yes,Electronic check,96.1,453.4,phone_PhoneService,Yes
0310-MVLET,Yes,Female,0,Yes,Yes,61,Month-to-month,Yes,Electronic check,99.15,6010.05,phone_PhoneService,Yes
0311-UNPFF,Yes,Female,0,No,No,26,Month-to-month,Yes,Bank transfer (automatic),88.8,2274.35,phone_PhoneService,Yes
0318-QUUOB,Yes,Male,0,Yes,No,1,Month-to-month,Yes,Electronic check,80.55,80.55,phone_PhoneService,Yes
0320-JDNQG,Yes,Male,0,Yes,Yes,23,Month-to-month,Yes,Electronic check,99.85,2331.3,phone_PhoneService,Yes
0322-CHQRU,Yes,Male,0,No,No,2,Month-to-month,No,Electronic check,45.35,89.5,phone_PhoneService,Yes
0322-YINQP,Yes,Male,0,No,No,1,Month-to-month,Yes,Mailed check,48.55,48.55,phone_PhoneService,Yes
0324-BRPCJ,Yes,Female,1,Yes,No,68,Month-to-month,Yes,Electronic check,100.2,6851.65,phone_PhoneService,Yes
0325-XBFAC,Yes,Male,0,No,No,8,Month-to-month,Yes,Electronic check,94.7,740.3,phone_PhoneService,Yes
0328-GRPMV,Yes,Female,0,No,No,1,Month-to-month,Yes,Electronic check,70.1,70.1,phone_PhoneService,Yes
0329-GTIAJ,Yes,Female,0,No,No,3,Month-to-month,Yes,Electronic check,97.9,315.3,phone_PhoneService,Yes
0330-IVZHA,Yes,Female,0,Yes,No,5,Month-to-month,No,Electronic check,69.95,330.15,phone_PhoneService,Yes
0334-GDDSO,Yes,Male,1,No,No,3,Month-to-month,Yes,Electronic check,81.35,233.7,phone_PhoneService,Yes
0337-CNPZE,Yes,Female,0,No,No,41,Month-to-month,Yes,Electronic check,106.3,4443.45,phone_PhoneService,Yes
0345-HKJVM,Yes,Female,0,No,No,6,Month-to-month,No,Electronic check,89.3,577.6,phone_PhoneService,Yes
0348-SDKOL,Yes,Female,0,Yes,No,58,Month-to-month,Yes,Credit card (automatic),102.1,5885.4,phone_PhoneService,Yes
0354-WYROK,Yes,Female,1,Yes,Yes,31,Month-to-month,Yes,Electronic check,98.9,2911.3,phone_PhoneService,Yes
0362-ZBZWJ,Yes,Male,0,No,No,36,Month-to-month,Yes,Electronic check,84.9,3067.2,phone_PhoneService,Yes
0363-QJVFX,Yes,Male,0,No,No,32,Month-to-month,Yes,Credit card (automatic),108.15,3432.9,phone_PhoneService,Yes
0375-HVGXO,Yes,Female,0,No,No,1,Month-to-month,Yes,Electronic check,34.7,34.7,phone_PhoneService,Yes
0376-YMCJC,Yes,Male,0,No,No,23,Month-to-month,Yes,Electronic check,90.6,1943.2,phone_PhoneService,Yes
0378-NHQXU,Yes,Female,0,Yes,Yes,17,Month-to-month,No,Electronic check,88.25,1460.65,phone_PhoneService,Yes
0378-TOVMS,Yes,Female,0,No,No,3,Month-to-month,No,Electronic check,85.8,272.2,phone_PhoneService,Yes
0378-XSZPU,Yes,Male,0,Yes,No,58,One year,No,Credit card (automatic),60.3,3563.8,phone_PhoneService,Yes
0388-EOPEX,Yes,Female,0,Yes,No,2,Month-to-month,Yes,Electronic check,74.4,139.4,phone_PhoneService,Yes
0390-DCFDQ,Yes,Female,1,Yes,No,1,Month-to-month,Yes,Mailed check,70.45,70.45,phone_PhoneService,Yes
0397-GZBBC,Yes,Male,1,Yes,No,59,Month-to-month,Yes,Bank transfer (automatic),93.85,5574.75,phone_PhoneService,Yes
0402-CQAJN,Yes,Female,0,No,No,37,Month-to-month,Yes,Bank transfer (automatic),101.9,3545.35,phone_PhoneService,Yes
0404-SWRVG,Yes,Male,0,No,No,3,Month-to-month,Yes,Electronic check,74.4,229.55,phone_PhoneService,Yes
0406-BPDVR,Yes,Female,1,Yes,No,54,One year,Yes,Credit card (automatic),101.5,5373.1,phone_PhoneService,Yes
0407-BDJKB,Yes,Male,0,Yes,No,60,Month-to-month,Yes,Electronic check,95.75,5742.9,phone_PhoneService,Yes
0415-MOSGF,Yes,Female,0,No,No,1,Month-to-month,No,Mailed check,44.4,44.4,phone_PhoneService,Yes
0420-BWTPW,Yes,Male,0,No,Yes,8,Month-to-month,No,Mailed check,25.5,215.2,phone_PhoneService,Yes
0426-TIRNE,Yes,Female,0,No,No,1,Month-to-month,No,Mailed check,20.9,20.9,phone_PhoneService,Yes
0431-APWVY,Yes,Female,0,Yes,Yes,28,One year,Yes,Bank transfer (automatic),90.1,2598.95,phone_PhoneService,Yes
0447-BEMNG,Yes,Female,0,Yes,No,48,Month-to-month,Yes,Bank transfer (automatic),45.3,2145.0,phone_PhoneService,Yes
0461-CVKMU,Yes,Female,0,Yes,Yes,23,Month-to-month,No,Electronic check,83.8,1900.25,phone_PhoneService,Yes
0471-LVHGK,Yes,Male,0,Yes,No,41,One year,Yes,Electronic check,73.0,3001.2,phone_PhoneService,Yes
0475-RIJEP,Yes,Male,0,No,No,43,Month-to-month,Yes,Electronic check,77.85,3365.85,phone_PhoneService,Yes
0486-HECZI,Yes,Male,0,Yes,No,55,Month-to-month,Yes,Electronic check,96.75,5238.9,phone_PhoneService,Yes
0488-GSLFR,Yes,Female,0,No,No,1,Month-to-month,Yes,Electronic check,69.5,69.5,phone_PhoneService,Yes
0495-RVCBF,Yes,Female,0,No,No,1,Month-to-month,Yes,Electronic check,79.7,79.7,phone_PhoneService,Yes
0495-ZBNGW,Yes,Male,1,Yes,No,5,Month-to-month,Yes,Bank transfer (automatic),79.9,343.95,phone_PhoneService,Yes
0504-HHAPI,Yes,Female,1,No,No,27,Month-to-month,No,Credit card (automatic),88.3,2467.75,phone_PhoneService,Yes
0506-LVNGN,Yes,Female,1,No,No,5,Month-to-month,Yes,Credit card (automatic),75.55,349.65,phone_PhoneService,Yes
0511-JTEOY,Yes,Female,0,No,No,1,Month-to-month,No,Mailed check,71.1,71.1,phone_PhoneService,Yes
0515-YPMCW,Yes,Male,0,No,Yes,1,Month-to-month,Yes,Mailed check,70.45,70.45,phone_PhoneService,Yes
0516-VRYBW,Yes,Female,0,No,Yes,18,One year,No,Bank transfer (automatic),20.15,390.85,phone_PhoneService,Yes
0516-WJVXC,Yes,Female,0,No,No,5,Month-to-month,No,Electronic check,54.2,308.25,phone_PhoneService,Yes
0519-XUZJU,Yes,Female,0,No,No,1,Month-to-month,No,Mailed check,70.75,70.75,phone_PhoneService,Yes
0520-FDVVT,Yes,Male,0,No,No,35,One year,Yes,Bank transfer (automatic),102.35,3626.1,phone_PhoneService,Yes
0524-IAVZO,Yes,Female,0,Yes,No,30,Month-to-month,Yes,Electronic check,85.0,2624.25,phone_PhoneService,Yes
0529-ONKER,Yes,Male,1,No,No,15,Month-to-month,No,Electronic check,75.65,1146.65,phone_PhoneService,Yes
0533-BNWKF,Yes,Female,1,Yes,No,55,Month-to-month,Yes,Electronic check,85.45,4874.7,phone_PhoneService,Yes
0564-JJHGS,Yes,Male,0,No,No,9,Month-to-month,Yes,Electronic check,95.5,829.1,phone_PhoneService,Yes
0565-IYCGT,Yes,Male,0,No,No,69,One year,Yes,Credit card (automatic),78.6,5356.45,phone_PhoneService,Yes
0568-ONFPC,Yes,Male,0,Yes,Yes,5,Month-to-month,Yes,Bank transfer (automatic),25.9,135.0,phone_PhoneService,Yes
0576-WNXXC,Yes,Male,1,Yes,No,27,Month-to-month,Yes,Electronic check,95.55,2510.2,phone_PhoneService,Yes
0578-SKVMF,Yes,Female,0,Yes,Yes,22,Month-to-month,No,Electronic check,83.3,1845.9,phone_PhoneService,Yes
0587-DMGBH,Yes,Female,0,No,No,8,Month-to-month,Yes,Electronic check,49.85,365.55,phone_PhoneService,Yes
0596-BQCEQ,Yes,Female,0,Yes,Yes,62,Month-to-month,Yes,Electronic check,100.15,6283.3,phone_PhoneService,Yes
0601-WZHJF,Yes,Male,0,Yes,No,14,Month-to-month,No,Electronic check,46.35,667.7,phone_PhoneService,Yes
0607-DAAHE,Yes,Male,0,No,Yes,53,Two year,No,Bank transfer (automatic),19.75,1052.35,phone_PhoneService,Yes
0611-DFXKO,Yes,Male,0,Yes,No,20,Month-to-month,Yes,Mailed check,89.0,1820.45,phone_PhoneService,Yes
0612-RTZZA,Yes,Female,1,No,No,1,Month-to-month,No,Electronic check,25.25,25.25,phone_PhoneService,Yes
0616-ATFGB,Yes,Male,1,Yes,No,1,Month-to-month,No,Electronic check,25.05,25.05,phone_PhoneService,Yes
0617-AQNWT,Yes,Female,0,Yes,No,64,Two year,No,Electronic check,47.85,3147.5,phone_PhoneService,Yes
0617-FHSGK,Yes,Male,0,No,Yes,49,Month-to-month,No,Credit card (automatic),75.2,3678.3,phone_PhoneService,Yes
0618-XWMSS,Yes,Male,0,No,Yes,28,Month-to-month,Yes,Bank transfer (automatic),74.9,2068.55,phone_PhoneService,Yes
0621-TWIEM,Yes,Male,0,No,No,10,Month-to-month,Yes,Electronic check,45.55,402.6,phone_PhoneService,Yes
0623-IIHUG,Yes,Female,1,No,No,21,Month-to-month,Yes,Electronic check,41.9,840.1,phone_PhoneService,Yes
0628-CNQRM,Yes,Male,0,Yes,Yes,22,One year,Yes,Bank transfer (automatic),67.5,1544.05,phone_PhoneService,Yes
0634-SZPQA,Yes,Female,0,No,No,23,Month-to-month,Yes,Bank transfer (automatic),90.05,2169.8,phone_PhoneService,Yes
0637-KVDLV,Yes,Male,0,No,No,2,Month-to-month,Yes,Electronic check,76.5,162.45,phone_PhoneService,Yes
0637-UBJRP,Yes,Male,0,Yes,Yes,13,Month-to-month,No,Electronic check,84.05,1095.3,phone_PhoneService,Yes
0637-YLETY,Yes,Female,0,No,No,16,Month-to-month,Yes,Credit card (automatic),95.6,1555.65,phone_PhoneService,Yes
0639-TSIQW,Yes,Female,0,No,No,67,Month-to-month,Yes,Credit card (automatic),102.95,6886.25,phone_PhoneService,Yes
0643-OKLRP,Yes,Female,1,Yes,No,47,Month-to-month,No,Electronic check,80.35,3825.85,phone_PhoneService,Yes
0654-HMSHN,Yes,Male,0,Yes,Yes,21,Month-to-month,No,Electronic check,104.4,2157.95,phone_PhoneService,Yes
0655-RBDUG,Yes,Male,0,No,No,7,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,phone_PhoneService,Yes
0661-XEYAN,Yes,Female,1,No,No,1,Month-to-month,Yes,Mailed check,25.8,25.8,phone_PhoneService,Yes
0679-IDSTG,Yes,Female,1,Yes,Yes,1,Month-to-month,Yes,Electronic check,69.25,69.25,phone_PhoneService,Yes
0680-DFNNY,Yes,Male,0,Yes,No,15,Month-to-month,Yes,Electronic check,101.1,1504.05,phone_PhoneService,Yes
0684-AOSIH,Yes,Male,0,Yes,No,1,Month-to-month,Yes,Electronic check,95.0,95.0,phone_PhoneService,Yes
0685-MLYYM,Yes,Female,1,No,No,2,Month-to-month,No,Electronic check,70.75,154.85,phone_PhoneService,Yes
0687-ZVTHB,Yes,Male,0,Yes,Yes,65,One year,No,Credit card (automatic),72.45,4653.85,phone_PhoneService,Yes
0689-NKYLF,Yes,Male,0,No,No,13,Month-to-month,Yes,Electronic check,83.2,1060.6,phone_PhoneService,Yes
0691-IFBQW,Yes,Female,1,No,No,46,One year,Yes,Electronic check,110.0,4874.8,phone_PhoneService,Yes
0691-JVSYA,Yes,Female,0,Yes,No,53,One year,Yes,Bank transfer (automatic),94.85,5000.2,phone_PhoneService,Yes
0697-ZMSWS,Yes,Male,0,No,No,4,Month-to-month,Yes,Electronic check,85.65,338.9,phone_PhoneService,Yes
0702-PGIBZ,Yes,Male,0,No,Yes,4,Month-to-month,Yes,Electronic check,101.7,364.55,phone_PhoneService,Yes
0709-TVGUR,Yes,Female,1,No,No,9,Month-to-month,Yes,Electronic check,74.55,622.9,phone_PhoneService,Yes
0719-SYFRB,Yes,Female,0,No,No,12,Month-to-month,Yes,Mailed check,61.65,713.75,phone_PhoneService,Yes
0722-TROQR,Yes,Female,1,No,No,4,Month-to-month,Yes,Electronic check,74.9,321.75,phone_PhoneService,Yes
0723-DRCLG,Yes,Female,1,Yes,No,1,Month-to-month,Yes,Electronic check,74.45,74.45,phone_PhoneService,Yes
0727-BMPLR,Yes,Female,1,No,No,55,One year,Yes,Electronic check,100.0,5509.3,phone_PhoneService,Yes
0727-IWKVK,Yes,Male,0,Yes,No,9,Month-to-month,Yes,Electronic check,79.9,741.7,phone_PhoneService,Yes
0733-VUNUW,Yes,Male,0,No,No,24,Month-to-month,Yes,Bank transfer (automatic),55.65,1400.55,phone_PhoneService,Yes
0742-MOABM,Yes,Male,0,Yes,No,4,Month-to-month,No,Mailed check,50.05,179.35,phone_PhoneService,Yes
0742-NXBGR,Yes,Female,0,No,No,1,Month-to-month,Yes,Electronic check,82.3,82.3,phone_PhoneService,Yes
0746-JTRFU,Yes,Male,0,No,No,2,Month-to-month,Yes,Electronic check,25.05,56.35,phone_PhoneService,Yes
0748-RDGGM,Yes,Male,0,Yes,No,70,One year,Yes,Bank transfer (automatic),109.5,7534.65,phone_PhoneService,Yes
0754-UKWQP,Yes,Male,0,No,No,2,Month-to-month,Yes,Electronic check,95.85,197.7,phone_PhoneService,Yes
0761-AETCS,Yes,Female,0,No,No,1,Month-to-month,No,Electronic check,19.3,19.3,phone_PhoneService,Yes
0772-GYEQQ,Yes,Male,0,No,No,3,Month-to-month,Yes,Mailed check,88.35,262.05,phone_PhoneService,Yes
0778-NELLA,Yes,Male,0,No,No,9,Month-to-month,Yes,Credit card (automatic),34.7,296.1,phone_PhoneService,Yes
0781-LKXBR,Yes,Male,1,No,No,9,Month-to-month,Yes,Electronic check,100.5,918.6,phone_PhoneService,Yes
0786-VSSUD,Yes,Male,1,No,No,16,Month-to-month,Yes,Mailed check,39.0,679.85,phone_PhoneService,Yes
0807-ZABDG,Yes,Female,0,No,Yes,3,Month-to-month,Yes,Mailed check,55.1,154.65,phone_PhoneService,Yes
0812-WUPTB,Yes,Male,1,Yes,No,1,Month-to-month,No,Mailed check,70.85,70.85,phone_PhoneService,Yes
0818-OCPZO,Yes,Male,1,No,No,27,Month-to-month,Yes,Electronic check,81.45,2122.05,phone_PhoneService,Yes
0822-GAVAP,Yes,Female,0,No,No,2,Month-to-month,Yes,Electronic check,34.7,62.25,phone_PhoneService,Yes
0823-HSCDJ,Yes,Male,1,No,No,52,Month-to-month,Yes,Electronic check,49.15,2550.9,phone_PhoneService,Yes
0836-SEYLU,Yes,Male,0,Yes,No,9,Month-to-month,No,Mailed check,40.65,328.95,phone_PhoneService,Yes
0841-NULXI,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,35.55,35.55,phone_PhoneService,Yes
0843-WTBXE,Yes,Male,0,No,No,53,Month-to-month,No,Bank transfer (automatic),85.45,4517.25,phone_PhoneService,Yes
0866-QLSIR,Yes,Female,0,No,No,34,One year,Yes,Mailed check,64.4,2088.75,phone_PhoneService,Yes
0867-MKZVY,Yes,Female,0,Yes,No,20,Month-to-month,No,Electronic check,82.4,1592.35,phone_PhoneService,Yes
0870-VEMYL,Yes,Female,0,No,No,5,Month-to-month,No,Credit card (automatic),53.85,259.8,phone_PhoneService,Yes
0871-URUWO,Yes,Male,0,Yes,No,13,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,phone_PhoneService,Yes
0872-NXJYS,Yes,Female,0,No,No,9,Month-to-month,Yes,Electronic check,79.55,723.4,phone_PhoneService,Yes
0875-CABNR,Yes,Female,1,No,No,10,Month-to-month,Yes,Credit card (automatic),84.6,865.55,phone_PhoneService,Yes
0876-WDUUZ,Yes,Female,0,No,No,5,Month-to-month,Yes,Credit card (automatic),85.4,425.9,phone_PhoneService,Yes
0877-SDMBN,Yes,Female,0,No,No,54,One year,Yes,Bank transfer (automatic),103.95,5639.05,phone_PhoneService,Yes
0880-TKATG,Yes,Male,0,Yes,Yes,4,Month-to-month,No,Electronic check,101.15,385.9,phone_PhoneService,Yes
0883-EIBTI,Yes,Female,0,No,No,2,Month-to-month,No,Mailed check,19.5,31.55,phone_PhoneService,Yes
0886-QGENL,Yes,Female,1,Yes,No,27,Month-to-month,Yes,Electronic check,101.25,2754.45,phone_PhoneService,Yes
0887-HJGAR,Yes,Male,0,No,No,1,Month-to-month,Yes,Mailed check,45.7,45.7,phone_PhoneService,Yes
0895-DQHEW,Yes,Male,0,Yes,No,54,Month-to-month,Yes,Electronic check,104.3,5278.15,phone_PhoneService,Yes
0897-FEGMU,Yes,Female,0,Yes,No,11,Month-to-month,Yes,Electronic check,99.5,1056.95,phone_PhoneService,Yes
0917-EZOLA,Yes,Male,1,Yes,No,72,Two year,Yes,Bank transfer (automatic),104.15,7689.95,phone_PhoneService,Yes
0923-PNFUB,Yes,Female,0,No,No,3,Month-to-month,No,Electronic check,83.75,247.25,phone_PhoneService,Yes
0925-VYDLG,Yes,Female,0,No,No,3,Month-to-month,No,Electronic check,75.25,242.0,phone_PhoneService,Yes
0927-LCSMG,Yes,Male,0,No,No,7,Month-to-month,No,Mailed check,74.65,544.55,phone_PhoneService,Yes
0939-YAPAF,Yes,Female,0,No,No,35,Month-to-month,Yes,Electronic check,100.25,3527.6,phone_PhoneService,Yes
0940-OUQEC,Yes,Male,0,No,No,10,Month-to-month,Yes,Bank transfer (automatic),80.7,788.8,phone_PhoneService,Yes
0946-CLJTI,Yes,Male,1,Yes,No,58,Month-to-month,Yes,Electronic check,98.7,5812.6,phone_PhoneService,Yes
0947-IDHRQ,Yes,Female,0,No,No,7,Month-to-month,Yes,Mailed check,80.3,526.7,phone_PhoneService,Yes
0947-MUGVO,Yes,Male,1,Yes,No,20,Month-to-month,Yes,Electronic check,73.65,1463.5,phone_PhoneService,Yes
0952-KMEEH,Yes,Male,0,No,No,13,Month-to-month,No,Mailed check,98.15,1230.25,phone_PhoneService,Yes
0963-ZBDRN,Yes,Male,0,No,No,32,Month-to-month,Yes,Electronic check,96.2,3183.4,phone_PhoneService,Yes
0968-GSIKN,Yes,Female,0,No,No,1,Month-to-month,Yes,Mailed check,70.8,70.8,phone_PhoneService,Yes
0970-ETWGE,Yes,Male,0,No,No,1,Month-to-month,Yes,Electronic check,89.55,89.55,phone_PhoneService,Yes
0979-PHULV,Yes,Male,0,Yes,Yes,69,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,phone_PhoneService,Yes
0991-BRRFB,Yes,Male,0,No,No,18,Month-to-month,No,Electronic check,49.4,874.8,phone_PhoneService,Yes
1000-AJSLD,Yes,Male,0,No,No,1,Month-to-month,Yes,Mailed check,20.1,20.1,phone_PhoneService,Yes
1009-IRMNA,Yes,Female,0,No,No,7,Month-to-month,No,Bank transfer (automatic),20.0,137.6,phone_PhoneService,Yes
1010-DIAUQ,Yes,Male,0,No,No,5,Month-to-month,No,Bank transfer (automatic),96.5,492.55,phone_PhoneService,Yes
1024-GUALD,Yes,Female,0,Yes,No,1,Month-to-month,Yes,Electronic check,24.8,24.8,phone_PhoneService,Yes
1024-VRZHF,Yes,Male,0,Yes,No,11,Month-to-month,Yes,Electronic check,74.95,825.7,phone_PhoneService,Yes
1029-QFBEN,Yes,Male,0,No,No,1,Month-to-month,No,Mailed check,19.55,19.55,phone_PhoneService,Yes
1031-IIDEO,Yes,Female,0,No,No,1,Month-to-month,Yes,Electronic check,70.85,70.85,phone_PhoneService,Yes
1038-ZAGBI,Yes,Female,0,Yes,Yes,12,One year,No,Bank transfer (automatic),19.8,229.6,phone_PhoneService,Yes
1041-RXHRA,Yes,Female,0,No,No,41,Month-to-month,No,Bank transfer (automatic),70.25,2868.05,phone_PhoneService,Yes
1043-YCUTE,Yes,Male,0,Yes,No,56,Two year,Yes,Credit card (automatic),25.15,1327.15,phone_PhoneService,Yes
1062-LHZOD,Yes,Male,0,Yes,Yes,1,Month-to-month,Yes,Mailed check,69.9,69.9,phone_PhoneService,Yes
1066-JKSGK,Yes,Male,0,No,No,1,Month-to-month,No,Mailed check,20.15,20.15,phone_PhoneService,Yes
1069-XAIEM,Yes,Female,1,No,No,1,Month-to-month,Yes,Electronic check,85.05,85.05,phone_PhoneService,Yes
1075-BGWOH,Yes,Male,1,Yes,No,16,Month-to-month,Yes,Electronic check,98.75,1587.55,phone_PhoneService,Yes
1084-UQCHV,Yes,Male,0,No,Yes,1,Month-to-month,No,Bank transfer (automatic),69.75,69.75,phone_PhoneService,Yes
1086-LXKFY,Yes,Female,0,Yes,Yes,1,Month-to-month,Yes,Mailed check,69.1,69.1,phone_PhoneService,Yes
1087-UDSIH,Yes,Female,0,No,No,3,Month-to-month,Yes,Mailed check,19.6,59.75,phone_PhoneService,Yes
1092-GANHU,Yes,Male,0,No,No,17,Month-to-month,Yes,Electronic check,76.65,1313.55,phone_PhoneService,Yes
1095-JUDTC,Yes,Female,1,No,No,47,Month-to-month,Yes,Electronic check,95.05,4504.55,phone_PhoneService,Yes
1112-CUNAO,Yes,Female,1,No,No,15,Month-to-month,No,Electronic check,89.85,1424.95,phone_PhoneService,Yes
1113-IUJYX,Yes,Female,0,Yes,No,14,One year,No,Mailed check,105.95,1348.9,phone_PhoneService,Yes
1114-CENIM,Yes,Male,0,No,Yes,54,Month-to-month,Yes,Credit card (automatic),55.0,3092.65,phone_PhoneService,Yes
1120-BMWUB,Yes,Female,0,No,No,16,Month-to-month,Yes,Mailed check,53.9,834.15,phone_PhoneService,Yes
1122-JWTJW,Yes,Male,0,Yes,Yes,1,Month-to-month,Yes,Mailed check,70.65,70.65,phone_PhoneService,Yes
